fecha,Depósitos del tesoro en pesos,Depósitos del tesoro en usd
2025-11-17,-279975.46,-104.82
2025-11-14,-142459.47,97.22
2025-11-13,-295.56,0.0
2025-11-12,-34194.96,19.89
2025-11-11,-363.47,0.0
2025-11-10,895928.04,-1.31
2025-11-07,-0.68,-809.69
2025-11-05,-1169418.95,761.77
2025-11-04,-2.07,-7.62
2025-11-03,-110434.54,63.89
2025-10-31,-4524656.61,12.6
2025-10-30,395.05,-3.97
2025-10-29,-46.68,-0.83
2025-10-28,-1221172.18,7.0
2025-10-27,-709479.52,-22.7
2025-10-24,209.62,0.0
2025-10-23,-280.59,-0.29
2025-10-22,233.85,-0.01
2025-10-21,-186.63,-17.63
2025-10-20,-45.82,-38.8
2025-10-17,-2120606.35,-31.48
2025-10-16,-51.83,-0.1
2025-10-15,244.75,-240.44
2025-10-14,-167315.64,120.23
2025-10-13,-434.72,0.0
2025-10-09,11861.42,-8.31
2025-10-08,502894.97,-352.08
2025-10-07,400462.18,-280.0
2025-10-06,693783.2,-491.07
2025-10-03,337821.59,-238.32
2025-10-02,292642.46,-105.75
2025-10-01,730517.35,-543.51
2025-09-30,1666957.94,-99.4
2025-09-29,-683951.41,209.57
2025-09-26,-1816907.17,1263.37
2025-09-25,-373441.13,261.22
2025-09-24,25304.05,-19.0
2025-09-23,-115512.7,84.7
2025-09-22,-1486.67,-16.04
2025-09-19,84.57,0.0
2025-09-18,1015.45,-19.0
2025-09-17,-999.74,21.84
2025-09-16,1011.59,-0.12
2025-09-15,75.45,-430.22
2025-09-12,-630941.28,-0.03
2025-09-11,-218.12,-0.05
2025-09-10,-5753.32,-0.15
2025-09-09,31167.46,-26.74
2025-09-08,48676.78,-38.65
2025-09-05,389314.45,-285.0
2025-09-04,73221.99,-44.18
2025-09-03,-46570.79,34.25
2025-09-02,270742.53,-238.19
2025-09-01,22381.45,-16.5
2025-08-29,960548.86,-23.42
2025-08-28,-52657.43,37.76
2025-08-27,36081.94,-26.97
2025-08-26,67240.3,-49.5
2025-08-25,-1048934.79,6.2
2025-08-22,-42038.85,-24.86
2025-08-21,69590.4,-126.39
2025-08-20,31232.21,-24.02
2025-08-19,3722115.92,21.36
2025-08-18,-5796459.2,-53.5
2025-08-14,243.25,-62.39
2025-08-13,-4973.74,18.63
2025-08-12,41923.98,-32.18
2025-08-11,37406.96,-2040.22
2025-08-08,-11951.08,-0.14
2025-08-07,33.79,0.61
2025-08-06,-39.47,-716.77
2025-08-05,0.0,-1.88
2025-08-04,-17.87,2075.33
2025-08-01,-38546.09,0.2
2025-07-31,-2796670.91,-65.42
2025-07-30,121.18,-29.4
2025-07-29,102.06,1199.09
2025-07-28,-39226.55,21.85
2025-07-25,-56611.38,-0.3
2025-07-24,-37288.03,30.0
2025-07-23,-205593.1,13.42
2025-07-22,-9896.0,-0.1
2025-07-21,-61150.56,25.01
2025-07-18,4255049.97,627.42
2025-07-17,-50178.49,40.0
2025-07-16,-61793.54,46.16
2025-07-15,-342681.76,105.62
2025-07-14,-63996.68,48.78
2025-07-11,-2302.87,0.0
2025-07-10,5621232.21,-1653.46
2025-07-08,-23808.88,-2554.66
2025-07-07,-4876.03,-10.6
